crew_id,name,role,airline_id
1,Tammy Schultz,Flight Attendant,4
2,Robert Cook II,Purser,2
3,Tammy Brown,Engineer,4
4,Thomas Paul,Engineer,2
5,Martha Glover,Flight Attendant,3
6,Jessica Hall,Pilot,1
7,Earl Rodriguez,Purser,3
8,Kevin Lopez,Co-Pilot,4
9,Laura Anderson,Engineer,1
10,James Mclaughlin,Co-Pilot,5
11,Kevin Lee,Co-Pilot,4
12,Jeff Wise,Purser,2
13,Taylor Martinez,Purser,1
14,Leslie Rodriguez,Co-Pilot,5
15,Samuel Stewart,Engineer,4
16,Elizabeth Robinson,Purser,4
17,Brittany Campbell,Pilot,3
18,Sarah Carey,Co-Pilot,3
19,Francisco Shaw,Co-Pilot,5
20,Denise Abbott,Pilot,4
21,Lynn Lewis,Flight Attendant,3
22,Vincent Brown,Pilot,6
23,Brittany Moran,Purser,1
24,Taylor Walker,Pilot,1
25,Tammy Parsons,Engineer,6
26,Monica Evans,Purser,3
27,Susan Moore,Co-Pilot,3
28,James Henderson,Engineer,6
29,Gregory Myers,Flight Attendant,4
30,Nicholas Campbell,Flight Attendant,1
31,Meredith Kelley,Flight Attendant,1
32,Frank Moody,Pilot,2
33,Amy Michael,Engineer,5
34,Matthew Ray,Pilot,2
35,John Merritt,Purser,2
36,Robert Gonzalez,Pilot,3
37,Heidi Chase,Co-Pilot,4
38,Richard Garrison,Purser,2
39,William Shelton,Purser,2
40,Anthony Kelly,Engineer,1
41,Tony Wilson,Flight Attendant,6
42,Gina Hamilton,Flight Attendant,6
43,Nathan Sanchez,Flight Attendant,4
44,James Turner,Pilot,5
45,Carrie Mcgee,Engineer,2
46,Wendy Lambert,Engineer,3
47,John Meyers,Co-Pilot,1
48,Mark Wallace,Engineer,4
49,Bruce Martinez,Engineer,1
50,Susan Walker,Purser,4
51,Victoria Mendoza,Purser,3
52,Anna Watkins,Engineer,6
53,Zachary Park,Pilot,5
54,Calvin Nguyen,Co-Pilot,2
55,Shannon Medina,Engineer,5
56,Michael Long,Flight Attendant,5
57,Rachel Moreno,Engineer,4
58,Ryan Ryan,Flight Attendant,3
59,Marissa Molina,Flight Attendant,1
60,Matthew Wilson,Co-Pilot,3
